name,calorie,protein,carb,fat,fat_saturated,fibres,sodium,userLikes
"pumpkin, cooked, boiled, drained, with salt",18,0.72,4.31,0.07,0.037,1.1,0.237,0
"cabbage, chinese (pak-choi), cooked,with salt",12,1.56,1.78,0.16,0.021,1,0.27,0
"lettuce, cos or romaine, raw",17,1.23,3.29,0.3,0.039,2.1,0.008,0
"arugula, raw",25,2.58,3.65,0.66,0.086,1.6,0.027,0
"carrots, cooked, boiled, drained, with salt",35,0.76,8.22,0.18,0.037,3,0.302,0
"radishes, oriental, cooked, boiled, drained, with salt",17,0.67,3.43,0.24,0.073,1.6,0.249,0
"avocados, raw, all commercial varieties",160,2,8.53,14.66,2.126,6.7,0.007,0
"cinnamon buns, frosted (includes honey buns)",436,4.72,49.59,24.36,12.11,1.3,0.305,0
chicken mushroom chowder,78,3.27,7.76,3.67,0.612,1.2,0.347,0
chicken noodle soup,48,2.38,6.35,1.59,0.397,0.8,0.524,0
hershey's milk chocolate with almond bites,550,9.76,51,35.73,17.39,3.6,0.074,0
"candies, reese's pieces candy",497,12.46,59.86,24.77,16.42,3,0.194,0
"cereals, frosted oat cereal ",388,7.1,84.1,3.5,0.62,4.3,0.533,0
"quaker, instant oatmeal, dry",368,8.85,75.86,4.75,0.785,6.4,0.7,0
"chickpeas,cooked with salt",164,8.86,27.42,2.59,0.269,7.6,0.243,0
"coffee, brewed, espresso, restaurant-prepared",9,0.12,1.67,0.18,0.092,0,0.014,0
"duck, domesticated, meat only, cooked, roasted",201,23.48,0,11.2,3.951,0,0.065,0
"eggplant, cooked, boiled, drained, with salt",33,0.83,8.14,0.23,0.044,2.5,0.239,0
"fish, salmon, atlantic, farmed, raw",208,20.42,0,13.42,3.05,0,0.059,0
"milk, nonfat,protein fortified",41,3.96,5.56,0.25,0.162,0,0.059,0
"olives, pickled, canned or bottled, green",145,1.03,3.84,15.32,2.029,3.3,1.556,0
"pizza hut 14' pepperoni pizza, thin 'n crispy crust",333,14.13,32.66,16.17,6.674,2.1,0.967,0
